r,n,t
9,11800,1165
10,11800,1167
11,11800,938
12,11800,937
13,11800,938
14,11800,941
15,11800,938
16,11800,937
2,11900,3289
3,11900,2327
4,11900,1634
5,11900,1445
6,11900,1401
7,11900,1185
8,11900,1173
9,11900,1172
10,11900,1172
11,11900,949
12,11900,943
13,11900,943
14,11900,943
15,11900,948
16,11900,964
2,12000,3276
3,12000,2151
4,12000,1869
5,12000,1433
6,12000,1455
7,12000,1183
8,12000,1190
9,12000,1184
10,12000,1183
11,12000,952
12,12000,957
13,12000,953
14,12000,951
15,12000,951
16,12000,956
2,12100,3312
3,12100,2133
4,12100,1663
5,12100,1477
6,12100,1444
7,12100,1198
8,12100,1199
9,12100,1428
10,12100,1200
11,12100,964
12,12100,1020
13,12100,966
14,12100,964
15,12100,964
16,12100,990
2,12200,3356
3,12200,2145
4,12200,1699
5,12200,1438
6,12200,1464
7,12200,1205
8,12200,1224
9,12200,1405
10,12200,1224
11,12200,967
12,12200,969
13,12200,998
14,12200,970
15,12200,969
16,12200,969
2,12300,3352
3,12300,2158
4,12300,1690
5,12300,1449
6,12300,1448
7,12300,1212
8,12300,1211
9,12300,1211
10,12300,1286
11,12300,977
12,12300,976
13,12300,1003
14,12300,975
15,12300,976
16,12300,1178
2,12400,3384
3,12400,2178
4,12400,1704
5,12400,1462
6,12400,1461
7,12400,1227
8,12400,1223
9,12400,1224
10,12400,1227
11,12400,985
12,12400,984
13,12400,1045
14,12400,986
15,12400,988
16,12400,1202
2,12500,3412
3,12500,2198
4,12500,1717
5,12500,1475
6,12500,1474
7,12500,1234
8,12500,1234
9,12500,1234
10,12500,1249
11,12500,994
12,12500,994
13,12500,998
14,12500,994
15,12500,1128
16,12500,1088
2,12600,3444
3,12600,2218
4,12600,1735
5,12600,1489
6,12600,1493
7,12600,1248
8,12600,1247
9,12600,1251
10,12600,1247
11,12600,1004
12,12600,1005
13,12600,1008
14,12600,1005
15,12600,1004
16,12600,1003
2,12700,3519
3,12700,2237
4,12700,1747
5,12700,1502
6,12700,1505
7,12700,1255
8,12700,1255
9,12700,1260
10,12700,1256
11,12700,1011
12,12700,1015
13,12700,1011
14,12700,1011
15,12700,1011
16,12700,1015
2,12800,3544
3,12800,2270
4,12800,1759
5,12800,1514
6,12800,1514
7,12800,1267
8,12800,1271
9,12800,1266
10,12800,1267
11,12800,1021
12,12800,1024
13,12800,1021
14,12800,1020
15,12800,1025
16,12800,1020
2,12900,3653
3,12900,2354
4,12900,1809
5,12900,1528
6,12900,1521
7,12900,1273
8,12900,1277
9,12900,1274
10,12900,1274
11,12900,1030
12,12900,1026
13,12900,1026
14,12900,1030
15,12900,1027
16,12900,1026
2,13000,3810
3,13000,2294
4,13000,1840
5,13000,1540
6,13000,1539
7,13000,1293
8,13000,1289
9,13000,1289
10,13000,1294
11,13000,1038
12,13000,1038
